TABLE_QUALIFIER                                                                                                                  TABLE_OWNER                                                                                                                      TABLE_NAME                                                                                                                       TABLE_TYPE                       REMARKS                                                                                                                                                                                                                                                       
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ODA                                                                                                                              dbo                                                                                                                              __RefactorLog                                                                                                                    TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Afstemning                                                                                                                       TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Afstemningstype                                                                                                                  TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Aktør                                                                                                                            TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              AktørAktør                                                                                                                       TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              AktørAktørRolle                                                                                                                  TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Aktørtype                                                                                                                        TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Dagsordenspunkt                                                                                                                  TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              DagsordenspunktDokument                                                                                                          TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              DagsordenspunktSag                                                                                                               TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Dokument                                                                                                                         TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              DokumentAktør                                                                                                                    TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              DokumentAktørRolle                                                                                                               TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Dokumentkategori                                                                                                                 TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Dokumentstatus                                                                                                                   TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Dokumenttype                                                                                                                     TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Emneord                                                                                                                          TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              EmneordDokument                                                                                                                  TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              EmneordSag                                                                                                                       TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Emneordstype                                                                                                                     TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              EntitetBeskrivelse                                                                                                               TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Fil                                                                                                                              TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              IdMap                                                                                                                            TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              KolloneBeskrivelse                                                                                                               TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Møde                                                                                                                             TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              MødeAktør                                                                                                                        TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Mødestatus                                                                                                                       TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Mødetype                                                                                                                         TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Omtryk                                                                                                                           TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Periode                                                                                                                          TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Sag                                                                                                                              TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              SagAktør                                                                                                                         TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              SagAktørRolle                                                                                                                    TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              SagDokument                                                                                                                      TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              SagDokumentRolle                                                                                                                 TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Sagskategori                                                                                                                     TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Sagsstatus                                                                                                                       TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Sagstrin                                                                                                                         TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              SagstrinAktør                                                                                                                    TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              SagstrinAktørRolle                                                                                                               TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              SagstrinDokument                                                                                                                 TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Sagstrinsstatus                                                                                                                  TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Sagstrinstype                                                                                                                    TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Sagstype                                                                                                                         TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Sambehandlinger                                                                                                                  TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Slettet                                                                                                                          TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              SlettetMap                                                                                                                       TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Stemme                                                                                                                           TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Stemmetype                                                                                                                       TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              SyncLogger                                                                                                                       TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              trace_xe_action_map                                                                                                              TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              trace_xe_event_map                                                                                                               TABLE                            NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Aktstykke                                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Almdel                                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Debat                                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              EUsag                                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              dbo                                                                                                                              Forslag                                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              INFORMATION_SCHEMA                                                                                                               CHECK_CONSTRAINTS                                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              INFORMATION_SCHEMA                                                                                                               COLUMN_DOMAIN_USAGE                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              INFORMATION_SCHEMA                                                                                                               COLUMN_PRIVILEGES                                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              INFORMATION_SCHEMA                                                                                                               COLUMNS                                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              INFORMATION_SCHEMA                                                                                                               CONSTRAINT_COLUMN_USAGE                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              INFORMATION_SCHEMA                                                                                                               CONSTRAINT_TABLE_USAGE                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              INFORMATION_SCHEMA                                                                                                               DOMAIN_CONSTRAINTS                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              INFORMATION_SCHEMA                                                                                                               DOMAINS                                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
